chr,start,end,gene_symbol,strand
chr1,26798901,26803133,HMGN2,+
chr1,26869602,26901520,RPS6KA1,+
chr1,27114453,27124894,PIGV,+
chr1,27205872,27216869,GPN2,-
chr1,27216978,27226962,GPATCH3,-
chr1,27248212,27273362,NUDC,+
chr1,27320194,27327377,TRNP1,+
chr1,27331510,27339333,FAM46B,-
chr1,27425299,27481621,SLC9A1,-
chr1,27561006,27635124,WDTC1,+
chr1,27648635,27662891,TMEM222,+
chr1,27668482,27680423,SYTL1,+
chr1,27681669,27693357,MAP3K6,-
chr1,27730729,27816698,WASF2,-
chr1,27992571,27998724,IFI6,-
chr1,28052489,28089426,FAM76A,+
chr1,28099693,28150963,STX12,+
chr1,28157251,28178183,PPP1R8,+
chr1,28199053,28213196,THEMIS2,+
chr1,28218034,28241308,RPA2,-
chr1,28261465,28285668,SMPDL3B,+
chr1,28285972,28294607,XKR8,+
chr1,28296854,28415148,EYA3,-
chr1,28473676,28520447,PTAFR,-
chr1,28526788,28559542,DNAJC8,-
chr1,28562601,28564616,ATPIF1,+
chr1,28585962,28609002,SESN2,+
chr1,28655512,28662478,MED18,+
chr1,28696092,28826881,PHACTR4,+
chr1,28832454,28865708,RCC1,+
chr1,28879528,28905057,TRNAU1AP,+
chr1,28929607,28969604,TAF12,-
chr1,28995239,29042115,GMEB1,+
chr1,29063132,29096287,YTHDF2,+
chr1,29213602,29446558,EPB41,+
chr1,29445936,29450421,TMEM200B,-
chr1,29474249,29508637,SRSF4,-
chr1,29519168,29557470,MECR,-
chr1,31184123,31196432,MATN1,-
chr1,31205314,31230683,LAPTM5,-
chr1,31404352,31538564,PUM1,-
chr1,31732414,31769644,SNRNP40,-
chr1,31769828,31837800,ZCCHC17,+
chr1,31838099,31846135,FABP3,-
chr1,31885962,31907527,SERINC2,+
chr1,32042085,32053287,TINAGL1,+
chr1,32095462,32110838,PEF1,-
chr1,32256022,32281652,SPOCD1,-
chr1,32372021,32385259,PTP4A2,-
chr1,32479294,32509483,KHDRBS1,+
chr1,32537631,32568467,TMEM39B,+
chr1,32573643,32642169,KPNA6,+
chr1,32645344,32663886,TXLNA,+
chr1,32665986,32670991,CCDC28B,+
chr1,32671235,32674288,IQCC,+
chr1,32674694,32681797,DCDC2B,+
chr1,32681797,32687972,TMEM234,-
chr1,32687184,32697205,EIF3I,+
chr1,32716839,32751768,LCK,+
chr1,32757707,32799224,HDAC1,+
chr1,32830233,32860062,BSDC1,-
chr1,32930657,32953460,ZBTB8B,+
chr1,33004745,33071551,ZBTB8A,+
chr1,33086420,33116191,ZBTB8OS,-
chr1,33116748,33151812,RBBP4,+
chr1,33231234,33240571,KIAA1522,+
chr1,33240839,33283633,YARS,-
chr1,33283042,33324480,S100PBP,+
chr1,33327868,33338093,FNDC5,-
chr1,33352097,33360247,HPCA,+
chr1,33402046,33430414,RNF19B,-
chr1,33473540,33502512,AK2,-
chr1,33546713,33586132,AZIN2,+
chr1,33611002,33647671,TRIM62,-
chr1,33772366,33786699,A3GALT2,-
chr1,33789223,33841194,PHC2,-
chr1,33938231,33961995,ZSCAN20,+
chr1,35315962,35325417,SMIM12,-
chr1,35447126,35450948,TMEM35B,-
chr1,35451765,35497569,ZMYM6,-
chr1,35544963,35581460,ZMYM1,+
chr1,35649200,35658743,SFPQ,-
chr1,35734567,35887545,ZMYM4,+
chr1,35899090,36023037,KIAA0319L,-
chr1,36023392,36032380,NCDN,+
chr1,36065141,36107445,PSMB2,-
chr1,36179476,36184790,C1orf216,-
chr1,36185818,36235551,CLSPN,-
chr1,36348795,36389900,AGO1,+
chr1,36396682,36522063,AGO3,+
chr1,36554452,36559533,ADPRHL2,+
chr1,36602169,36621654,TRAPPC3,-
chr1,36621565,36646450,MAP7D1,+
chr1,36690012,36770958,THRAP3,+
chr1,36771993,36786948,SH3D21,+
chr1,36805219,36851528,STK40,-
chr1,36859020,36863560,LSM10,-
chr1,36883506,36916086,OSCP1,-
chr1,36921361,36930040,MRPS15,-
chr1,37940118,37949978,ZC3H12A,+
chr1,37955560,37980420,MEAF6,-
chr1,38000049,38019945,SNIP1,-
chr1,38022519,38032458,DNALI1,+
chr1,38032412,38061586,GNL2,-
chr1,38147241,38156267,C1orf109,-
chr1,38158072,38175391,CDCA8,+
chr1,38259773,38267278,MANEAL,+
chr1,38268613,38273865,YRDC,-
chr1,38275238,38325292,MTF1,-
chr1,38326368,38412729,INPP5B,-
chr1,38422646,38455782,SF3A3,-
chr1,38478383,38490497,UTP11,+
chr1,39303868,39325495,RRAGC,-
chr1,39328161,39339050,MYCBP,-
chr1,39456915,39471737,AKIRIN1,+
chr1,39491966,39500308,NDUFS5,+
chr1,39875175,39882154,KIAA0754,+
chr1,40026484,40042521,PABPC4,-
chr1,40089102,40105348,HEYL,-
chr1,40124792,40137710,NT5C1A,-
chr1,40204516,40229586,PPIE,+
chr1,40306702,40349183,TRIT1,-
chr1,40361095,40367687,MYCL,-
chr1,40420783,40435640,MFSD2A,+
chr1,40506254,40538321,CAP1,+
chr1,40538381,40563142,PPT1,-
chr1,40627040,40706593,RLF,+
chr1,40723721,40759856,ZMPSTE24,+
chr1,40839377,40888998,SMAP2,+
chr1,40916336,40929390,ZFP69B,+
chr1,40943301,40962015,ZFP69,+
chr1,40974390,40981722,EXO5,+
chr1,40997232,41013841,ZNF684,+
chr1,41157241,41237275,NFYC,+
chr1,41444970,41478237,CTPS1,+
chr1,41481268,41487427,SLFNL1,-
chr1,41492870,41628689,SCMH1,-
chr1,42642209,42801548,FOXJ3,-
chr1,42922164,42939052,PPCS,+
chr1,43124047,43142429,PPIH,+
chr1,43147905,43169474,YBX1,+
chr1,43212005,43232755,P3H1,-
chr1,43232915,43241413,C1orf50,+
chr1,43253660,43263901,TMEM269,+
chr1,43272722,43283059,SVBP,-
chr1,43282775,43310660,ERMAP,+
chr1,43312243,43318148,ZNF691,+
chr1,43391045,43424847,SLC2A1,-
chr1,43613593,43622067,FAM183A,+
chr1,43629844,43638241,EBNA1BP2,-
chr1,43824625,43828874,CDC20,+
chr1,43829067,43833745,ELOVL1,-
chr1,43849578,43855483,MED8,-
chr1,43855555,43919918,SZT2,+
chr1,43916673,43919660,HYI,-
chr1,44115796,44171189,KDM4A,+
chr1,44173203,44396837,ST3GAL3,+
chr1,44398991,44402912,ARTN,+
chr1,44412477,44433694,IPO13,+
chr1,44435652,44439043,DPH2,+
chr1,44440319,44443972,ATP6V0B,+
chr1,44445607,44456843,B4GALT2,+
chr1,44457279,44462200,CCDC24,+
chr1,44462154,44497164,SLC6A9,-
chr1,44679124,44686351,DMAP1,+
chr1,44686741,44820951,ERI3,-
chr1,44870831,45117396,RNF220,+
chr1,45118918,45140280,TMEM53,-
chr1,45140393,45191263,C1orf228,+
chr1,45205489,45233439,KIF2C,+
chr1,45241245,45244412,RPS8,+
chr1,45274153,45279801,BTBD19,+
chr1,45285515,45308616,PTCH2,-
chr1,45316193,45452394,EIF2B3,-
chr1,45468219,45477027,HECTD3,-
chr1,45477804,45481341,UROD,+
chr1,45482073,45672250,ZSWIM5,-
chr1,45794913,45806142,MUTYH,-
chr1,45805341,45809650,TOE1,+
chr1,45809554,45956840,TESK2,-
chr1,45965855,45976739,MMACHC,+
chr1,45976706,45988562,PRDX1,-
chr1,46016454,46035723,AKR1A1,+
chr1,46049659,46084578,NASP,+
chr1,46085715,46089731,CCDC17,-
chr1,46092975,46152302,GPBP1L1,-
chr1,46153846,46160108,TMEM69,+
chr1,46159995,46216485,IPP,-
chr1,46505811,46598708,PIK3R3,-
chr1,46654352,46685977,POMGNT1,-
chr1,46669005,46686928,LURAP1,+
chr1,46713366,46744145,RAD54L,+
chr1,46744071,46769038,LRRC41,-
chr1,46769284,46782449,UQCRH,+
chr1,46805848,46830824,NSUN4,+
chr1,47023078,47069966,MKNK1,-
chr1,47073386,47080805,MOB3C,-
chr1,47100710,47134099,ATPAF1,-
chr1,47140830,47184736,EFCAB14,-
chr1,47715810,47779819,STIL,-
chr1,47799468,47844511,CMPK1,+
chr1,47901688,47906363,FOXD2,+
chr1,50906934,51425936,FAF1,-
chr1,51434366,51440306,CDKN2C,+
chr1,51701944,51739119,RNF11,+
chr1,51752929,51810788,TTC39A,-
chr1,51819934,51984995,EPS15,-
chr1,52082545,52254891,OSBPL9,+
chr1,52254863,52344609,NRDC,-
chr1,52485802,52521843,TXNDC12,-
chr1,52521856,52556388,BTF3L4,+
chr1,52816264,52831877,CC2D1B,-
chr1,52838500,52870143,ORC1,-
chr1,52870218,52883992,PRPF38A,+
chr1,52888946,53018762,ZCCHC11,-
chr1,53152013,53164038,COA7,-
chr1,53308182,53360247,ZYG11A,+
chr1,53392900,53517289,SCP2,+
chr1,53662100,53679869,CPT2,+
chr1,53679770,53686311,C1orf123,-
chr1,53692563,53704282,MAGOH,-
chr1,54231132,54304225,NDC1,-
chr1,54317391,54355487,YIPF1,-
chr1,54359859,54376759,DIO1,+
chr1,54387233,54411496,HSPB11,-
chr1,54492353,54519246,TMEM59,-
chr1,54519244,54567321,TCEANC2,+
chr1,54638008,54665746,CYB5RL,-
chr1,54665839,54691162,MRPL37,+
chr1,55013806,55100417,ACOT11,+
chr1,55074849,55089200,FAM151A,-
chr1,55107412,55175940,MROH7,+
chr1,55181494,55208330,TTC4,+
chr1,55222570,55230226,PARS2,-
chr1,55315299,55352921,DHCR24,-
chr1,55532031,55681039,USP24,-
chr1,56960418,57045257,PLPP3,-
chr1,57110989,57181008,PRKAA2,+
chr1,58946390,59012471,OMA1,-
chr1,59120410,59165747,MYSM1,-
chr1,59246462,59249785,JUN,-
chr1,59762624,60228402,FGGY,+
chr1,60280532,60342050,HOOK1,+
chr1,61542945,61928460,NFIA,+
chr1,62146718,62191095,TM2D1,-
chr1,62208148,62629592,PATJ,+
chr1,62901974,62917475,USP1,+
chr1,62920396,63154039,DOCK7,-
chr1,63249776,63330941,ATG4C,+
chr1,63833260,63904233,ALG6,+
chr1,63906440,63988944,ITGB3BP,-
chr1,63988971,64038364,EFCAB7,+
chr1,64058946,64125916,PGM1,+
chr1,64239689,64647181,ROR1,+
chr1,64936475,65158741,CACHD1,+
chr1,65210777,65298915,RAVER2,+
chr1,65298905,65533429,JAK1,-
chr1,65613231,65697828,AK4,+
chr1,65730376,65881552,DNAJC6,+
chr1,65886130,65901690,LEPROT,+
chr1,65886334,66103176,LEPR,+
chr1,67278567,67390570,WDR78,-
chr1,67390577,67454302,MIER1,+
chr1,67465014,67520080,SLC35D1,-
chr1,67873492,67896123,SERBP1,-
chr1,68150859,68154021,GADD45A,+
chr1,68167148,68299155,GNG12,-
chr1,68564141,68698229,WLS,-
chr1,68939834,68962904,DEPDC1,-
chr1,70610484,70671361,LRRC40,-
chr1,70671364,70717703,SRSF11,+
chr1,70724684,70820417,ANKRD13C,-
chr1,70820492,70833706,HHLA3,+
chr1,70876900,70905534,CTH,+
chr1,71528973,71546972,ZRANB2,-
chr1,74663895,74674386,FPGT,+
chr1,75171169,75199092,CRYZ,-
chr1,75198835,75232361,TYW3,+
chr1,75594118,75627218,LHX8,+
chr1,75671816,76081694,SLC44A5,-
chr1,76190031,76229364,ACADM,+
chr1,76251878,76260775,RABGGTB,+
chr1,76262555,76378923,MSH4,+
chr1,76540388,77096669,ST6GALNAC3,+
chr1,77333092,77533223,ST6GALNAC5,+
chr1,77554665,77685132,PIGK,-
chr1,77748286,78025654,AK5,+
chr1,78028100,78149112,ZZZ3,-
chr1,78161671,78225564,USP33,-
chr1,78245308,78345225,MIGA1,+
chr1,78354199,78409580,NEXN,+
chr1,78414086,78444889,FUBP1,-
chr1,78444841,78483648,DNAJB4,+
chr1,78956727,79006386,PTGFR,+
chr1,82266081,82458422,ADGRL2,+
chr1,84543657,84704181,PRKACB,+
chr1,84764048,84816481,SAMD13,+
chr1,84944919,84964033,RPF1,+
chr1,84964005,84972262,GNG5,-
chr1,84971983,85022178,SPATA1,+
chr1,85018803,85040163,CTBS,-
chr1,85109389,85156240,SSX2IP,-
chr1,85279085,85358896,LPAR3,-
chr1,85391265,85462805,MCOLN2,-
chr1,85483764,85514223,MCOLN3,-
chr1,85527980,85598821,WDR63,+
chr1,85623355,85666728,SYDE2,-
chr1,85715635,85725355,C1orf52,-
chr1,85731458,85742587,BCL10,-
chr1,85784167,86044046,DDAH1,-
chr1,86046443,86049650,CYR61,+
chr1,86115105,86174116,ZNHIT6,-
chr1,86812506,86862025,ODF2L,-
chr1,87170252,87213867,SH3GLB1,+
chr1,87328127,87380048,SELENOF,-
chr1,87380334,87575681,HS2ST1,+
chr1,87794150,87814606,LMO4,+
chr1,89149826,89301938,PKN2,+
chr1,89318320,89357301,GTF2B,-
chr1,89401455,89458643,KYAT3,-
chr1,89445138,89458643,RBMXL1,-
chr1,89990396,90063420,LRRC8B,+
chr1,90098643,90185094,LRRC8C,+
chr1,90286572,90401991,LRRC8D,+
chr1,90460653,90501090,ZNF326,+
chr1,91380854,91487812,ZNF644,-
chr1,91726322,91870426,HFM1,-
chr1,91966403,91991321,CDC7,+
chr1,92145899,92351836,TGFBR3,-
chr1,92495532,92529093,EPHX4,+
chr1,92545861,92613397,BTBD8,+
chr1,92711954,92764566,GLMN,-
chr1,92764521,92853732,RPAP2,+
chr1,92940317,92952433,GFI1,-
chr1,93297593,93307481,RPL5,+
chr1,93298285,93427079,FAM69A,-
chr1,93544791,93604638,MTF2,+
chr1,93615298,93646246,TMED5,-
chr1,93646272,93744287,CCDC18,+
chr1,93811477,93828149,DR1,+
chr1,93913687,94020218,FNBP1L,+
chr1,94027342,94312706,BCAR3,-
chr1,94335013,94344762,DNTTIP2,-
chr1,94350754,94375154,GCLM,-
chr1,94634462,94703307,ARHGAP29,-
chr1,94883932,94984219,ABCD3,+
chr1,94994731,95007413,F3,-
chr1,95285897,95360803,SLC44A3,+
chr1,95362504,95392779,CNN3,-
chr1,95448278,95538507,ALG14,-
chr1,95699710,95712781,RWDD3,+
chr1,97187160,97280605,PTBP2,+
chr1,99127235,99226056,SNX7,+
chr1,100174258,100231349,FRRS1,-
chr1,100315639,100389579,AGL,+
chr1,100435344,100492535,SLC35A3,+
chr1,100503788,100548933,MFSD14A,+
chr1,100549099,100598651,SASS6,-
chr1,100598705,100616054,TRMT13,+
chr1,100652477,100715409,DBT,-
chr1,100731713,100758325,RTCA,+
chr1,100818022,100985833,CDC14A,+
chr1,101337927,101360735,EXTL2,-
chr1,101361631,101447311,SLC30A7,+
chr1,101455178,101491362,DPH5,-
chr1,101702304,101707076,S1PR1,+
chr1,104068577,104097861,RNPC3,+
chr1,104097265,104122156,AMY2B,+
chr1,104198140,104207173,AMY1A,+
chr1,107599266,107601916,PRMT6,+
chr1,108677343,108742980,SLC25A24,-
chr1,109234931,109244425,PRPF38B,+
chr1,109289256,109352148,STXBP3,+
chr1,109419602,109476957,GPSM2,+
chr1,109472129,109506121,CLCC1,-
chr1,109512835,109584850,WDR47,-
chr1,109606997,109618624,TAF13,-
chr1,109633362,109639556,TMEM167B,+
chr1,109648572,109656479,C1orf194,-
chr1,109756514,109780804,SARS,+
chr1,109822175,109825790,PSRC1,-
chr1,109834986,109849663,MYBPHL,-
chr1,109852186,109940567,SORT1,-
chr1,109941652,109969108,PSMA5,-
chr1,110009099,110024764,SYPL2,+
chr1,110026560,110035426,ATXN7L2,+
chr1,110036657,110043063,CYB561D1,+
chr1,110091185,110138465,GNAI3,+
chr1,110145888,110155705,GNAT2,-
chr1,110162434,110174677,AMPD2,+
chr1,110198697,110204331,GSTM4,+
chr1,110210643,110226619,GSTM2,+
chr1,110276553,110283660,GSTM3,-
chr1,110453232,110473616,CSF1,+
chr1,110527386,110566364,AHCYL1,+
chr1,110577222,110597263,STRIP1,+
chr1,110693135,110744824,SLC6A17,+
chr1,110881944,110889303,RBM15,+
chr1,110905472,110933704,SLC16A4,-
chr1,110943874,110950546,LAMTOR5,-
chr1,111489811,111506566,LRIF1,-
chr1,111659953,111682838,DRAM2,-
chr1,111682004,111727726,CEPT1,+
chr1,111956936,111970399,OVGP1,-
chr1,111982511,111991930,WDR77,-
chr1,111991742,112004540,ATP5F1,+
chr1,112016490,112021134,C1orf162,+
chr1,112162404,112259317,RAP1A,+
chr1,112264685,112298419,FAM212B,-
chr1,112298189,112310199,DDX20,+
chr1,112938799,113003786,CTTNBP2NL,+
chr1,113009162,113063910,WNT2B,+
chr1,113066139,113162040,ST7L,-
chr1,113162074,113214241,CAPZA1,+
chr1,113216933,113243368,MOV10,+
chr1,113243748,113250025,RHOC,-
chr1,113454468,113498975,SLC16A1,-
chr1,113615791,113667824,LRIG2,+
chr1,113933474,114228545,MAGI3,+
chr1,114239826,114302510,PHTF1,-
chr1,114304453,114355098,RSBN1,-
chr1,114419435,114430169,BCL2L15,-
chr1,114436815,114447746,AP4B1,-
chr1,114447240,114456708,DCLRE1B,+
chr1,114471995,114520491,HIPK1,+
chr1,114522012,114524876,OLFML3,+
chr1,114935398,115053781,TRIM33,-
chr1,115110177,115124265,BCAS2,-
chr1,115127195,115212732,DENND2C,-
chr1,115247084,115259515,NRAS,-
chr1,115259533,115300671,CSDE1,-
chr1,115312099,115323308,SIKE1,-
chr1,115590631,115632121,TSPAN2,-
chr1,116185249,116240845,VANGL1,+
chr1,116519118,116612675,SLC22A15,+
chr1,116915794,116947396,ATP1A1,+
chr1,117057155,117113715,CD58,-
chr1,117117019,117210377,IGSF3,-
chr1,117452544,117532980,PTGFRN,+
chr1,117602948,117645492,TTF2,+
chr1,117653676,117664411,TRIM45,-
chr1,117910084,118068320,MAN1A2,+
chr1,118148603,118171011,FAM46C,+
chr1,118406106,118472302,GDAP2,-
chr1,118472371,118503049,WDR3,+
chr1,119573838,119683295,WARS2,-
chr1,120161999,120190390,ZNF697,-
chr1,120254418,120286849,PHGDH,+
chr1,120454175,120612317,NOTCH2,-
chr1,120839004,120855681,FAM72B,+
chr1,143896451,143914384,FAM72D,-
chr1,144851423,145039995,PDE4DIP,-
chr1,145209112,145286270,NOTCH2NL,+
chr1,145293370,145368684,NBPF10,+
chr1,145438437,145442644,TXNIP,+
chr1,145456235,145470408,POLR3GL,-
chr1,145470507,145475647,ANKRD34A,+
chr1,145477066,145501669,LIX1L,+
chr1,145507556,145513536,RBM8A,+
chr1,145516164,145523732,PEX11B,+
chr1,145524890,145543868,ITGA10,+
chr1,145575987,145586546,PIAS3,+
chr1,145590665,145611044,POLR3C,-
chr1,145610989,145689005,RNF115,+
chr1,145695797,145715639,CD160,-
chr1,145764594,145827103,GPR89A,-
chr1,146373856,146467639,NBPF12,+
chr1,146626684,146644168,PRKAB2,-
chr1,146714290,146767447,CHD1L,+
chr1,147013270,147098020,BCL9,+
chr1,147119167,147142665,ACP6,-
chr1,147400505,147465753,GPR89B,+
chr1,147574322,147624469,NBPF11,-
chr1,148558187,148596267,NBPF15,+
chr1,149288353,149291742,LOC388692,+
chr1,149673780,149677243,FAM231D,+
chr1,149856009,149858232,HIST2H2BE,-
chr1,149874869,149889434,SV2A,-
chr1,149895208,149900144,SF3B4,-
chr1,149900542,149908791,MTMR11,-
chr1,149912228,149982686,OTUD7B,-
chr1,150039349,150117505,VPS45,+
chr1,150121623,150132260,PLEKHO1,+
chr1,150190716,150208504,ANP32E,-
chr1,150230137,150237478,CA14,+
chr1,150237798,150241609,APH1A,-
chr1,150244686,150253335,C1orf54,+
chr1,150266261,150281414,MRPS21,+
chr1,150293927,150325704,PRPF3,+
chr1,150336586,150449042,RPRD2,+
chr1,150459839,150480085,TARS2,+
chr1,150480486,150486265,ECM1,+
chr1,150547026,150552214,MCL1,-
chr1,150594598,150602098,ENSA,-
chr1,150618700,150669672,GOLPH3L,-
chr1,150768683,150780917,CTSK,-
chr1,150782180,150849244,ARNT,-
chr1,150898814,150937220,SETDB1,+
chr1,150937648,150947479,CERS2,-
chr1,150969300,150980854,FAM63A,-
chr1,150980866,151008189,PRUNE1,+
chr1,151009028,151020076,BNIPL,+
chr1,151023446,151032125,CDC42SE1,-
chr1,151032150,151040973,MLLT11,+
chr1,151043053,151098021,GABPB2,+
chr1,151104160,151119140,SEMA6C,-
chr1,151129104,151142773,TNFAIP8L2-SCNM1,+
chr1,151129104,151132225,TNFAIP8L2,+
chr1,151132223,151138424,LYSMD1,-
chr1,151138497,151142773,SCNM1,+
chr1,151142462,151148547,TMOD4,-
chr1,151148775,151162689,VPS72,-
chr1,151171019,151222007,PIP5K1A,+
chr1,151227175,151239955,PSMD4,+
chr1,151254030,151264381,ZNF687,+
chr1,151264272,151300191,PI4KB,-
chr1,151313115,151319769,RFX5,-
chr1,151336777,151345210,SELENBP1,-
chr1,151372040,151374412,PSMB4,+
chr1,151375199,151431941,POGZ,-
chr1,151483861,151511168,CGN,+
chr1,151512780,151556059,TUFT1,+
chr1,151584661,151671559,SNX27,+
chr1,151732118,151736392,MRPL9,-
chr1,151735444,151743806,OAZ3,+
chr1,151744039,151763010,TDRKH,-
chr1,151843341,151882361,THEM4,-
chr1,151955385,151966714,S100A10,-
chr1,152004981,152009511,S100A11,-
chr1,153516094,153518282,S100A4,-
chr1,153533583,153538306,S100A2,-
chr1,153591274,153606568,S100A13,-
chr1,153600872,153604513,S100A1,+
chr1,153606457,153618782,CHTOP,+
