chr,start,end,gene_symbol,strand
chr10,97071529,97321177,SORBS1,-
chr10,97667721,97698415,C10orf131,+
chr10,98124362,98273683,TLL2,-
chr10,98757794,98945683,SLIT1,-
chr10,99332197,99343653,ANKRD2,+
chr10,105005643,105007773,RPEL1,+
chr10,105889645,105992135,CFAP43,-
chr10,106113521,106214848,CFAP58,+
chr10,112836789,112840665,ADRA2A,+
chr10,117816435,118033157,GFRA1,-
chr10,118423206,118429783,C10orf82,-
chr10,121485558,121551720,INPP5F,+
chr10,123872553,124014060,TACC2,+
chr10,124608609,124639157,FAM24B,-
chr10,124907637,124910188,HMX2,+
chr10,127585107,127698161,FANK1,+
chr11,612554,615999,IRF7,-
chr11,2904447,2906995,CDKN1C,-
chr11,2908573,2925175,SLC22A18AS,-
chr11,3659735,3663546,ART5,-
chr11,4619901,4629489,TRIM68,-
chr11,5684424,5706339,TRIM5,-
chr11,7041699,7092757,NLRP14,+
chr11,8245850,8285425,LMO1,-
chr11,8413412,8615836,STK33,-
chr11,11292420,11643561,GALNT18,-
chr11,12159936,12285337,MICAL2,+
chr11,13030969,13033653,RASSF10,+
chr11,13299273,13408813,ARNTL,+
chr11,13984183,14289679,SPON1,+
chr11,17515441,17565963,USH1C,-
chr11,17568919,17667491,OTOG,+
chr11,20385230,20405329,HTATIP2,+
chr11,22214721,22304913,ANO5,+
chr11,22841808,22851408,SVIP,-
chr11,27015627,27018634,FIBIN,+
chr11,27676439,27722600,BDNF,-
chr11,30406039,30607930,MPPED2,-
chr11,31284170,31391357,DCDC1,-
chr11,32409320,32457081,WT1,-
chr11,35453373,35547579,PAMR1,-
chr11,36613492,36619829,RAG2,-
chr11,36616042,36680841,C11orf74,+
chr11,44587140,44641339,CD82,+
chr11,46402333,46405387,MDK,+
chr11,47608229,47610746,FAM180B,+
chr11,47681142,47736928,AGBL2,-
chr11,57174426,57195053,SLC43A3,-
chr11,57508721,57511026,SELENOH,+
chr11,62380212,62382592,ROM1,+
chr11,62554873,62557872,TMEM179B,+
chr11,63341933,63381941,PLA2G16,-
chr11,63991270,63993726,TRPT1,-
chr11,64009587,64011607,FKBP2,+
chr11,64755416,64764517,BATF2,-
chr11,64808375,64812300,SAC3D1,+
chr11,64851693,64855874,ZFPL1,+
chr11,65122281,65125084,TIGD3,+
chr11,65360325,65363467,KCNK7,-
chr11,65651210,65656010,FIBP,-
chr11,66330934,66336047,CTSF,-
chr11,67202980,67205153,PTPRCAP,-
chr11,71709957,71713850,IL18BP,+
chr11,71817421,71823826,ANAPC15,-
chr11,72287183,72385497,PDE2A,-
chr11,72929342,72953472,P2RY2,+
chr11,72983186,73009670,P2RY6,+
chr11,74041356,74109510,PGM2L1,-
chr11,76777991,76837201,CAPN5,+
chr11,78364327,79151695,TENM4,-
chr11,82684174,82782965,RAB30,-
chr11,85566143,85631064,CCDC83,+
chr11,93862093,93915138,PANX1,+
chr11,94110476,94134589,GPR83,-
chr11,94245694,94265289,C11orf97,+
chr11,94822973,94865815,ENDOD1,+
chr11,101785745,101871796,CEP126,+
chr11,107461816,107537505,ELMOD1,+
chr11,108253726,108338258,C11orf65,-
chr11,111797867,111846719,DIXDC1,+
chr11,112831968,113149158,NCAM1,+
chr11,113258512,113271140,ANKK1,+
chr11,113845796,113861035,HTR3A,+
chr11,113930430,114121398,ZBTB16,+
chr11,117690789,117747746,FXYD6-FXYD2,-
chr11,117707690,117747746,FXYD6,-
chr11,117857105,117872198,IL10RA,+
chr11,118097404,118123083,MPZL3,-
chr11,118886421,118889057,RPS25,-
chr11,119056165,119060932,PDZD3,+
chr11,119288650,119295695,THY1,-
chr11,120107348,120190653,POU2F3,+
chr11,121322911,121504471,SORL1,+
chr11,122526397,122685187,UBASH3B,+
chr11,123499894,123525315,SCN3B,-
chr11,123986110,124017619,VWA5A,+
chr11,124824016,124911385,CCDC15,+
chr11,125773270,125793299,DDX25,+
chr11,128328655,128392296,ETS1,-
chr11,130318868,130346540,ADAMTS15,+
chr12,329786,372039,SLC6A13,-
chr12,2162415,2807115,CACNA1C,+
chr12,3724493,3862366,CRACR2A,-
chr12,6976583,6980110,TPI1,+
chr12,6980098,6982521,SPSB2,-
chr12,7276276,7282610,RBP5,-
chr12,9102639,9163343,KLRG1,+
chr12,12813994,12849121,GPR19,-
chr12,13043955,13066600,GPRC5A,+
chr12,14956505,14976792,C12orf60,+
chr12,15773074,15942510,EPS8,-
chr12,16500576,16530123,MGST1,+
chr12,25261222,25348096,CASC1,-
chr12,26348268,26387710,SSPN,+
chr12,26488269,26986131,ITPR2,-
chr12,28111016,28122894,PTHLH,-
chr12,28343359,28703099,CCDC91,+
chr12,29580488,29650619,OVCH1,-
chr12,29653745,29937692,TMTC1,-
chr12,32943679,33049780,PKP2,-
chr12,39046001,39299420,CPNE8,-
chr12,39687029,39837192,KIF21A,-
chr12,39945021,40013843,ABCD2,-
chr12,40618812,40763087,LRRK2,+
chr12,41086243,41466214,CNTN1,+
chr12,43748011,43945724,ADAMTS20,-
chr12,44902057,45270633,NELL2,-
chr12,48235319,48298814,VDR,-
chr12,48577365,48579709,CCDC184,+
chr12,49315741,49319330,FKBP11,-
chr12,51785100,51909547,SLC4A8,+
chr12,53290970,53343650,KRT8,-
chr12,54849735,54867386,GTSF1,-
chr12,54943176,54973023,PDE1B,+
chr12,56075329,56078395,METTL7B,+
chr12,56119226,56123457,CD63,-
chr12,56347888,56360496,PMEL,-
chr12,56473891,56479401,ERBB3,+
chr12,56843285,56848435,MIP,-
chr12,56862300,56864769,SPRYD4,+
chr12,57422300,57444549,MYO1A,-
chr12,57866037,57882597,ARHGAP9,-
chr12,57998404,58003587,DTX3,+
chr12,58019677,58027022,B4GALNT1,-
chr12,59989820,60183636,SLC16A7,+
chr12,63952692,64062354,DPY19L2,-
chr12,64238532,64541643,SRGAP1,+
chr12,65153276,65274802,TBC1D30,+
chr12,65672422,65860687,MSRB3,+
chr12,66245006,66275947,LOC100129940,-
chr12,69244954,69326979,CPM,-
chr12,70219102,70352506,MYRFL,+
chr12,70760061,70828072,KCNMB4,+
chr12,70909650,71003804,PTPRB,-
chr12,71833549,71980090,LGR5,+
chr12,72332625,72426221,TPH2,+
chr12,75670990,75784702,CAPS2,-
chr12,75728418,75764170,GLIPR1L1,+
chr12,75784849,75826177,GLIPR1L2,+
chr12,79257772,79845788,SYT1,+
chr12,81186298,81331694,LIN7A,-
chr12,81471796,81650538,ACSS3,+
chr12,81651753,82152474,PPFIA2,-
chr12,82752275,82873018,METTL25,+
chr12,83080933,83528647,TMTC2,+
chr12,85408093,85430055,TSPAN19,-
chr12,85430098,85638883,LRRIQ1,+
chr12,88886569,88974250,KITLG,-
chr12,89813494,89920039,POC1B,-
chr12,93963597,93970521,SOCS2,+
chr12,94071146,94288616,CRADD,+
chr12,95470524,95611240,FGD6,-
chr12,96051582,96183973,NTN4,-
chr12,96883348,97269333,CFAP54,+
chr12,100967438,101022066,GAS2L3,+
chr12,102271104,102317401,DRAM1,+
chr12,104850691,105155792,CHST11,+
chr12,107712196,108053419,BTBD11,+
chr12,118587605,118810750,TAOK3,-
chr12,119616594,119632551,HSPB8,+
chr12,121570630,121624354,P2RX7,+
chr12,123185839,123187904,HCAR2,-
chr12,123464606,123467460,ARL6IP4,+
chr12,124247041,124420267,DNAH10,+
chr12,124457730,124800570,ZNF664-RFLNA,+
chr12,133179735,133187037,LRCOL1,-
chr12,133562933,133589154,ZNF26,+
chr13,21140954,21265576,IFT88,+
chr13,22066827,22178355,MICU2,-
chr13,22245214,22278640,FGF9,+
chr13,24304327,24463587,MIPEP,-
chr13,24463025,24466243,C1QTNF9B-AS1,+
chr13,24734854,24881212,SPATA13,+
chr13,25820338,25861704,MTMR6,-
chr13,26618734,26625198,SHISA2,-
chr13,26706252,26796508,RNF6,-
chr13,26828240,26979375,CDK8,+
chr13,29274216,29293150,SLC46A3,-
chr13,32605436,32870776,FRY,+
chr13,33677271,33859901,STARD13,-
chr13,35516423,36246873,NBEA,+
chr13,36742344,36871992,CCDC169-SOHLH2,-
chr13,36801178,36871992,CCDC169,-
chr13,37248048,37271976,SERTM1,+
chr13,39261172,39461268,FREM2,+
chr13,39917028,40177356,LHFP,-
chr13,42031541,42045013,RGCC,+
chr13,43460523,43566448,EPSTI1,-
chr13,43787268,44361116,ENOX1,-
chr13,44453419,44468068,LACC1,+
chr13,46786077,46850938,LRRC63,+
chr13,46916134,46961635,RUBCNL,-
chr13,49063098,49107392,RCBTB2,-
chr13,49882785,50018262,CAB39L,-
chr13,52638897,52703228,NEK5,-
chr13,53418108,53422775,PCDH8,-
chr13,57721621,57724643,PRR20B,+
chr13,58205788,58303065,PCDH17,+
chr13,100258917,100545018,CLYBL,+
chr13,101182417,101186056,GGACT,-
chr13,103436630,103451404,KDELC1,-
chr13,108859789,108870716,LIG4,-
chr13,108870762,108886603,ABHD13,+
chr13,111175412,111214084,RAB20,-
chr13,111968531,111996594,TEX29,+
chr14,20926011,20929771,TMEM55B,-
chr14,21467413,21470034,SLC39A2,+
chr14,23594503,23652869,SLC7A8,-
chr14,24105572,24114848,DHRS2,+
chr14,24608173,24610797,EMC9,-
chr14,24895737,24898731,CBLN3,-
chr14,26915088,27066960,NOVA1,-
chr14,34393420,34420284,EGLN3,-
chr14,36942492,36982990,SFTA3,-
chr14,36985601,36989430,NKX2-1,-
chr14,37147125,37641865,SLC25A21,-
chr14,38677203,38682268,SSTR1,+
chr14,50159822,50219870,KLHDC1,+
chr14,52327021,52436518,GNG2,+
chr14,52781015,52795324,PTGER2,+
chr14,55034329,55260033,SAMD4A,+
chr14,58470773,58618957,C14orf37,-
chr14,60062693,60337557,RTN1,-
chr14,61788160,62017698,PRKCH,+
chr14,63671101,63760230,RHOJ,+
chr14,64319682,64693167,SYNE2,+
chr14,73086003,73360824,DPF3,-
chr14,74946642,74960084,NPC2,-
chr14,76044939,76114512,FLVCR2,+
chr14,77648101,77725838,TMEM63C,+
chr14,79745681,80334633,NRXN3,+
chr14,90261327,90421121,EFCAB11,-
chr14,92335754,92414046,FBLN5,-
chr14,93042578,93155339,RIN3,+
chr14,93799564,94174222,UNC79,+
chr14,96671134,96710666,BDKRB2,+
chr14,96858447,96955764,AK7,+
chr15,23043278,23086843,NIPA1,-
chr15,26788692,27018935,GABRB3,-
chr15,28000020,28344458,OCA2,-
chr15,32322685,32462384,CHRNA7,+
chr15,34376222,34394053,EMC7,-
chr15,34394273,34396591,PGBD4,+
chr15,34517197,34522366,EMC4,+
chr15,34522196,34630265,SLC12A6,-
chr15,34635515,34649938,NUTM1,+
chr15,35663169,35838404,DPH6,-
chr15,36871803,37102461,C15orf41,+
chr15,38746327,38779911,FAM98B,+
chr15,39892231,40075039,FSIP1,-
chr15,40091222,40213093,GPR176,-
chr15,40531291,40569688,PAK6,+
chr15,41474925,41522955,EXD1,-
chr15,41786055,41795757,ITPKA,+
chr15,41795839,41806085,LTK,-
chr15,42191637,42264755,EHD4,-
chr15,42433331,42448839,PLA2G4F,-
chr15,42566365,42645864,GANC,+
chr15,43036535,43213007,TTBK2,-
chr15,43622553,43646753,ADAL,+
chr15,44162958,44487492,FRMD5,-
chr15,45459411,45480165,SHF,-
chr15,45653321,45694515,GATM,-
chr15,45771810,45815002,SLC30A4,-
chr15,48431624,48470558,MYEF2,-
chr15,48700502,48937985,FBN1,-
chr15,49280834,49338760,SECISBP2L,-
chr15,49447955,49622002,GALK2,+
chr15,49620589,49913118,FAM227B,-
chr15,49913225,49937333,DTWD1,+
chr15,50999729,51057910,SPPL2A,-
chr15,51200868,51298097,AP4E1,+
chr15,51739920,51914967,DMXL2,-
chr15,52121824,52204335,TMOD3,+
chr15,52413122,52483565,GNB5,-
chr15,52873517,52970831,FAM214A,-
chr15,55609381,55611392,PIGBOS1,-
chr15,55647420,55700708,CCPG1,-
chr15,55700722,55710910,C15orf65,+
chr15,55903737,56035317,PRTG,-
chr15,56119114,56285944,NEDD4,-
chr15,56657621,56738195,TEX9,+
chr15,56720928,56757335,MNS1,-
chr15,57210832,57583459,TCF12,+
chr15,58887402,59042177,ADAM10,-
chr15,59063390,59154099,FAM63B,+
chr15,59428167,59665071,MYO1E,-
chr15,62144587,62352664,VPS13C,-
chr15,63413998,63434264,LACTB,+
chr15,63481727,63559975,RAB8B,+
chr15,63615729,63674309,CA12,-
chr15,63900816,64126147,HERC1,-
chr15,71143765,71146604,LARP6,-
chr15,71839540,72075722,THSD4,+
chr15,74630102,74660081,CYP11A1,-
chr15,83654954,83659809,FAM103A1,+
chr15,90319588,90321985,MESP2,+
chr15,100940599,101084618,CERS3,-
chr16,333117,337209,PDIA2,+
chr16,776935,779715,HAGHL,+
chr16,811072,818865,MSLN,+
chr16,848040,850733,GNG13,-
chr16,1535939,1538910,PTX4,-
chr16,2009516,2011976,NDUFB10,+
chr16,2286467,2288712,DNASE1L2,+
chr16,3064712,3068188,CLDN6,-
chr16,3070312,3072384,TNFRSF12A,+
chr16,4743693,4745860,NUDT16L1,+
chr16,4827614,4838522,43720,-
chr16,4846962,4852951,ROGDI,-
chr16,5094122,5116146,C16orf89,-
chr16,8768443,8878432,ABAT,+
chr16,10479911,10577495,ATF7IP2,+
chr16,12070590,12668146,SNX29,+
chr16,12753655,12897744,CPPED1,-
chr16,18995255,19075264,TMC7,+
chr16,19727777,19869789,IQCK,+
chr16,21169697,21191937,TMEM159,+
chr16,21269838,21314457,CRYM,-
chr16,21695749,21772050,OTOA,+
chr16,22103858,22168287,VWA3A,+
chr16,30035743,30041405,FAM57B,-
chr16,30382254,30389312,MYLPF,+
chr16,30996518,31000473,HSD3B7,+
chr16,31484525,31489281,TGFB1I1,+
chr16,49521441,49891830,ZNF423,-
chr16,53633150,53737850,RPGRIP1L,-
chr16,55542912,55620582,LPCAT2,+
chr16,57023396,57117436,NLRC5,+
chr16,57576548,57611101,ADGRG5,+
chr16,66788878,66835523,TERB1,-
chr16,67182004,67184902,B3GNT9,-
chr16,67261015,67263182,TMEM208,+
chr16,67360746,67419109,LRRC36,+
chr16,67963472,67965778,CTRL,-
chr16,68021292,68033421,DPEP2,-
chr16,68047338,68049814,LOC100131303,-
chr16,68678738,68732971,CDH3,+
chr16,69984607,69998250,CLEC18A,+
chr16,70613797,70694585,IL34,+
chr16,75507021,75528926,CHST6,-
chr16,78133309,79246564,WWOX,+
chr16,80574630,80584706,DYNLRB2,+
chr16,81134483,81214967,PKD1L2,-
chr16,83986826,83999937,OSGIN1,+
chr16,84043271,84075762,SLC38A8,-
chr16,84853586,84943116,CRISPLD2,+
chr16,85932773,85956212,IRF8,+
chr16,89262168,89266529,SLC22A31,-
chr17,1958392,1962981,HIC1,+
chr17,4634702,4636905,MED11,+
chr17,4643309,4649414,ZMYND15,+
chr17,7163221,7166512,CLDN7,-
chr17,7215977,7218658,GPS2,-
chr17,7255207,7258263,KCTD11,+
chr17,7258454,7260538,TMEM95,+
chr17,7482804,7485429,CD68,+
chr17,7531286,7536701,SHBG,+
chr17,7621077,7647219,DNAH2,+
chr17,8191080,8198661,SLC25A35,-
chr17,9813925,9862766,GAS7,-
chr17,15133093,15165906,PMP22,-
chr17,27051365,27053949,TLCD1,-
chr17,27895293,27900175,TP53I13,+
chr17,28256873,28401643,EFCAB5,+
chr17,32901141,32906388,C17orf102,-
chr17,32907767,32966337,TMEM132E,+
chr17,33254877,33288528,CCT6B,-
chr17,33570054,33600674,SLFN5,+
chr17,34087915,34092098,C17orf50,+
chr17,37824705,37826728,PNMT,+
chr17,37884752,37886816,MIEN1,-
chr17,41717756,41739262,MEOX1,-
chr17,42925269,42927848,HIGD1B,+
chr17,43471267,43503012,ARHGAP27,-
chr17,45810609,45823485,TBX21,+
chr17,45915046,45918699,SCRN2,-
chr17,46802124,46806111,HOXB13,-
chr17,46839592,46894469,TTLL6,-
chr17,47035917,47045955,GIP,-
chr17,47300731,47308128,PHOSPHO1,-
chr17,48067368,48072588,DLX3,-
chr17,48172100,48188733,PDK2,+
chr17,53796987,53809482,TMEM100,-
chr17,56497527,56565762,HSF5,-
chr17,68165675,68176185,KCNJ2,+
chr17,72733355,72743474,RAB37,+
chr17,73257748,73262457,MRPS7,+
chr17,73996986,74002080,CDK3,+
chr17,80272745,80275480,CD7,-
chr17_ctg5_hap1,954314,1170468,CRHR1-IT1-CRHR1,-
chr18,3262110,3278282,MYL12B,+
chr18,5392379,5628990,EPB41L3,-
chr18,11689013,11885684,GNAL,+
chr18,13663345,13726591,FAM210A,-
chr18,29027731,29058665,DSG3,+
chr18,39535162,39661448,PIK3C3,+
chr18,43563501,43652250,PSTPIP2,-
chr18,44395672,44497495,PIAS2,-
chr18,44526786,44628614,KATNAL2,+
chr18,46065426,46389588,CTIF,+
chr18,46570171,46987079,DYM,-
chr18,47088400,47119278,LIPG,+
chr18,47309873,47340251,ACAA2,-
chr18,47753562,47792892,CFAP53,-
chr18,48405431,48476165,ME2,+
chr18,51795848,51824604,POLI,+
chr18,51884286,51908405,C18orf54,+
chr18,52889561,53257045,TCF4,-
chr18,54318615,54697036,WDR7,+
chr18,55297533,55336508,LOC100505549,+
chr18,55313657,55470327,ATP8B1,-
chr18,55888753,56068772,NEDD4L,+
chr18,56338617,56417371,MALT1,+
chr18,56807088,56826069,SEC11C,+
chr18,59711456,59854289,PIGN,-
chr18,60382671,60647676,PHLPP1,+
chr18,66382490,66722426,CCDC102B,+
chr18,67671039,67872962,RTTN,-
chr18,71740587,71815100,FBXO15,-
chr18,71920526,71959251,CYB5A,-
chr18,76829274,77138283,ATP9B,+
chr19,2249277,2252072,AMH,+
chr19,4522542,4535208,PLIN5,-
chr19,5913654,5916222,CAPS,+
chr19,6372443,6375261,ALKBH7,+
chr19,6463787,6467232,CRB3,+
chr19,7696500,7698634,PCP2,-
chr19,10677137,10679655,CDKN2D,-
chr19,11485382,11487627,SWSAP1,+
chr19,11877814,11894893,ZNF441,+
chr19,12125531,12146556,ZNF433,-
chr19,12242164,12251222,ZNF20,-
chr19,12382622,12405714,ZNF44,-
chr19,12428290,12444534,ZNF563,-
chr19,12460184,12476475,ZNF442,-
chr19,17905918,17924385,B3GNT3,+
chr19,17982781,18005983,SLC5A5,+
chr19,21106058,21133503,ZNF85,+
chr19,22817125,22850472,ZNF492,+
chr19,23540497,23578362,ZNF91,-
chr19,24097683,24116769,ZNF726,+
chr19,33210678,33281714,TDRD12,+
chr19,35522271,35531353,SCN1B,+
chr19,35531409,35557477,HPN,+
chr19,35978225,35981433,KRTDAP,-
chr19,36157417,36169387,UPK1A,+
chr19,36229701,36233351,IGFLR1,-
chr19,36245466,36247930,HSPB6,-
chr19,36316273,36342895,NPHS1,-
chr19,36602104,36604613,OVOL3,+
chr19,37264019,37267980,LOC728485,+
chr19,37407230,37488834,ZNF568,+
chr19,37997840,38034239,ZNF793,+
chr19,38085730,38105080,ZNF540,+
chr19,38158649,38183216,ZNF781,-
chr19,38375462,38397346,WDR87,-
chr19,38893774,38899728,FAM98C,+
chr19,39292310,39303740,LGALS4,-
chr19,39358469,39368919,RINL,-
chr19,39399619,39402798,CCER2,-
chr19,41699111,41713444,CYP2S1,+
chr19,41732659,41767672,AXL,+
chr19,42502467,42569957,GRIK5,-
chr19,42806283,42814973,PRR19,+
chr19,44576296,44593766,ZNF284,+
chr19,46984044,47104457,PPP5D1,-
chr19,48551099,48614109,PLA2G4C,-
chr19,48867650,48879634,SYNGR4,+
chr19,49654454,49658681,HRC,-
chr19,49866986,49878373,DKKL1,+
chr19,50194364,50216988,CPT1C,+
chr19,51728334,51743274,CD33,+
chr19,52567718,52599018,ZNF841,-
chr19,53452631,53466164,ZNF816,-
chr19,53569866,53606687,ZNF160,-
chr19,54597932,54605994,OSCAR,-
chr19,54659376,54663481,LENG1,-
chr19,56154985,56156989,ZNF581,+
chr19,56915382,56936400,ZNF583,+
chr19,58469804,58485902,C19orf18,-
chr2,12856997,12882860,TRIB2,+
chr2,15307031,15701472,NBAS,-
chr2,20883773,21022890,LDAH,-
chr2,25265331,25382004,EFR3B,+
chr2,26531040,26569685,ADGRF3,-
chr2,26624779,26679579,DRC1,+
chr2,27477439,27498189,SLC30A3,-
chr2,27600097,27603611,ZNF513,-
chr2,27665232,27669348,KRTCAP3,+
chr2,28615778,28637516,FOSL2,+
chr2,30454396,30482899,LBH,+
chr2,31395921,31456823,CAPN14,-
chr2,31456879,31491260,EHD3,+
chr2,37571752,37600465,QPCT,+
chr2,38152461,38294280,RMDN2,+
chr2,38294745,38303323,CYP1B1,-
chr2,39103102,39109850,MORN2,+
chr2,43864438,43995126,PLEKHH2,+
chr2,44589042,44999731,CAMKMT,+
chr2,46524540,46613842,EPAS1,+
chr2,47314129,47382517,C2orf61,-
chr2,54198239,54532437,ACYP2,+
chr2,54558070,54588714,C2orf73,+
chr2,62115857,62363205,COMMD1,+
chr2,63348517,63815867,WDPCP,-
chr2,65537984,65659656,SPRED2,-
chr2,68694690,68807294,APLF,+
chr2,70187220,70189397,ASPRV1,-
chr2,70674411,70781147,TGFA,-
chr2,72403112,73053171,EXOC6B,-
chr2,74685526,74688018,WBP1,+
chr2,74745257,74753408,DQX1,-
chr2,75719443,75788092,EVA1A,-
chr2,87011727,87035519,CD8A,-
chr2,102972742,103015235,IL18R1,+
chr2,103353364,103434138,TMEM182,+
chr2,108905094,108926371,SULT1C2,+
chr2,108994366,109005426,SULT1C4,+
chr2,110880912,110962639,NPHP1,-
chr2,128175995,128186822,PROC,+
chr2,128403438,128410213,GPR17,+
chr2,132118064,132121731,WTH3DI,-
chr2,136871918,136875725,CXCR4,-
chr2,140988995,142889270,LRP1B,-
chr2,144703580,145090101,GTDC1,-
chr2,148778579,149271046,MBD5,+
chr2,150186498,150330662,LYPD6,+
chr2,152104727,152118389,RBM43,-
chr2,152126981,152146430,NMI,-
chr2,154728410,155310489,GALNT13,+
chr2,155292364,155313950,LOC100144595,-
chr2,157291964,157442915,GPD2,+
chr2,159027868,159313265,CCDC148,-
chr2,162272604,162282378,TBR1,+
chr2,163200582,163219618,GCA,+
chr2,165536694,165698678,COBLL1,-
chr2,166150340,166248820,SCN2A,+
chr2,166326156,166545917,CSRNP3,+
chr2,167051694,167232497,SCN9A,-
chr2,169983618,170219122,LRP2,-
chr2,171627191,171655481,ERICH2,+
chr2,173292081,173371183,ITGA6,+
chr2,173724765,173917621,RAPGEF4,+
chr2,175664041,175870107,CHN1,-
chr2,177053306,177055635,HOXD1,+
chr2,178487976,178937482,PDE11A,-
chr2,180306708,180726232,ZNF385B,-
chr2,182321618,182403655,ITGA4,+
chr2,182401398,182521834,CERKL,-
chr2,183698001,183731498,FRZB,-
chr2,185463092,185804214,ZNF804A,+
